"pix","year","for_age_2003","for_con_2003","for_pro","elev","p1_trend","p1_trend_slope","trend_20yrs","delta_for_age_lag3","delta_for_con_lag3","delta_cmi_sm_lag3","delta_dd5_wt_lag3","avg_for_age","avg_for_con","avg_cmi_sm","avg_dd5_wt","min_cmi_sm","min_dd5_wt","max_cmi_sm","max_dd5_wt","delta_for_age_lag2","delta_for_con_lag2","delta_cmi_sm_lag2","delta_dd5_wt_lag2","delta_for_age_lag1","delta_for_con_lag1","delta_cmi_sm_lag1","delta_dd5_wt_lag1","delta_for_age","delta_for_con","delta_cmi_sm","delta_dd5_wt","fire","harv","insc","gfc","canlad","abio","count_brk_neg","sum_brk_magnitude_neg","avg_brk_magnitude_neg","count_brk_pos","sum_brk_magnitude_pos","avg_brk_magnitude_pos","cmi_sm_nrange","dd5_wt_nrange","min_cmi_sm_rel","max_cmi_sm_rel","min_dd5_wt_rel","max_dd5_wt_rel","map_nrange","mat_nrange","min_map_rel","max_map_rel","min_mat_rel","max_mat_rel","cmi_sm_cv","dd5_wt_cv","cmi_sm_cqv","dd5_wt_cqv","cmi_sm_nrange30","min_cmi_sm_rel30","max_cmi_sm_rel30","dd5_wt_nrange30","min_dd5_wt_rel30","max_dd5_wt_rel30","map_nrange30","min_map_rel30","max_map_rel30","mat_nrange30","min_mat_rel30","max_mat_rel30","cmi_sm_nrange30_reg","min_cmi_sm_rel30_reg","max_cmi_sm_rel30_reg","dd5_wt_nrange30_reg","min_dd5_wt_rel30_reg","max_dd5_wt_rel30_reg","map_nrange30_reg","min_map_rel30_reg","max_map_rel30_reg","mat_nrange30_reg","min_mat_rel30_reg","max_mat_rel30_reg","cmi_sm_rel30","dd5_wt_rel30","cmi_sm_rel30_reg","dd5_wt_rel30_reg","canlad_factor"
122182,2003,79.043,68.095,0,274.548,1,4.585,1,,,-7.13,-0.945,81.984,62.15,-5.357,5.389,-14.756,4,-0.016,7.945,2.942,-5.945,4.93,1,1.471,-2.972,4.792,-4,5.883,-11.89,4.572,3.945,,0,0,1,1,0,0,0,0,0,0,0,-2.752,0.732,2.755,0.003,0.742,1.474,0.237,0.421,0.9,1.137,0.823,1.243,0.941,0.274,-0.395,0.2,3.92,-3.925,-0.004,1.315,1.333,2.648,0.239,0.904,1.143,0.479,0.937,1.417,-6.761,6.769,0.007,1.052,1.067,2.119,0.223,0.847,1.07,0.486,0.95,1.436,-0.424767202174021,0.796333333333333,2.457,1.437,"1"
4827,2003,,,0,390.185,1,6.2,1,,,-6.623,0,,,-2.528,4.8,-12.026,4,3.351,7,,,4.557,2,,,7.379,-3,,,5.05,3,,1,0,1,1,0,0,0,0,0,0,0,-6.083,0.625,4.757,-1.326,0.833,1.458,0.208,0.496,0.914,1.122,0.778,1.275,2.012,0.243,-0.217,0.111,21.495,-16.811,4.684,1,1.333,2.333,0.209,0.919,1.128,0.584,0.916,1.5,-7.054,5.517,-1.537,0.8,1.067,1.867,0.21,0.922,1.132,0.493,0.773,1.266,-2.53380855221822,0.6,1.16,1.28,"1"
278544,2003,62.43,43.588,0,293.253,1,3.875,,,,-9.126,-1,68.31,41.415,-5.796,6.4,-14.334,5,-0.82,9,5.879,-2.172,6.777,2,2.939,-1.086,2.363,-5,11.759,-4.346,4.616,4,,0,0,1,1,0,0,0,0,0,0,0,-2.332,0.625,2.473,0.141,0.781,1.406,0.23,0.38,0.902,1.132,0.842,1.222,0.792,0.234,-0.277,0.167,2.925,-3.102,-0.177,1,1.25,2.25,0.235,0.921,1.156,0.422,0.935,1.356,-6.199,6.575,0.376,1.067,1.333,2.4,0.217,0.848,1.065,0.488,1.082,1.57,-0.254318542050308,0.6,2.659,1.707,"1"
447173,2003,70.202,64.487,0,303.471,1,3.601,1,,,-11.886,-0.078,74.908,61.592,-6.407,8.184,-13.049,6,-2.779,12,4.706,-2.896,8.853,2.922,2.353,-1.448,0.067,-6.078,9.412,-5.791,3.775,5.078,,0,0,1,1,0,0,0,0,0,0,0,-1.603,0.733,2.037,0.434,0.733,1.466,0.202,0.358,0.908,1.11,0.849,1.207,0.558,0.25,-0.248,0.072,1.928,-2.45,-0.522,1.2,1.2,2.4,0.211,0.949,1.16,0.396,0.939,1.336,-4.711,5.986,1.275,1.6,1.6,3.2,0.195,0.878,1.074,0.501,1.187,1.689,-0.202701212399399,0.6368,2.939,2.182,"1"
175789,2003,84.595,31.312,0,316.795,1,3.528,1,,,-6.608,0,81.247,31.704,-5.312,5.927,-15.061,5,0.222,8.019,-3.348,0.392,6.688,2,-1.674,0.196,4.282,-4.618,-6.695,0.785,4.152,3.019,,0,0,0,1,0,0,0,0,0,0,0,-2.877,0.509,2.835,-0.042,0.844,1.353,0.251,0.382,0.894,1.145,0.842,1.225,0.993,0.188,-0.497,0.091,3.514,-3.463,0.051,0.755,1.25,2.005,0.255,0.906,1.161,0.429,0.945,1.374,-7.011,6.909,-0.102,0.805,1.333,2.138,0.237,0.845,1.082,0.475,1.046,1.521,-0.221457674734487,0.48175,2.437,1.581,"1"
288737,2003,73.9,17.323,0,360.886,1,4.926,1,,,-10.042,0,79.51,17.691,-4.399,6.028,-12.426,5,0.421,8.138,5.61,0.368,5.532,2,2.805,0.184,1.778,-4,11.22,0.736,5.176,3.138,,0,0,0,1,0,0,0,0,0,0,0,-2.92,0.521,2.825,-0.096,0.829,1.35,0.22,0.421,0.906,1.126,0.824,1.245,0.999,0.19,-0.512,0.091,4.327,-4.185,0.142,0.785,1.25,2.035,0.225,0.925,1.15,0.481,0.94,1.421,-5.893,5.7,-0.193,0.837,1.333,2.17,0.211,0.868,1.079,0.482,0.942,1.424,-0.481510830933505,0.507,2.018,1.607,"1"
168547,2003,100.737,60.399,0,277.093,1,5.716,1,,,-6.975,0,97.048,55.551,-5.648,5.784,-15.277,4,-0.136,8,-3.689,-4.848,6.068,2,-1.844,-2.424,4.14,-4,-7.379,-9.696,4.458,3,,1,0,1,1,0,0,0,0,0,0,0,-2.681,0.692,2.705,0.024,0.692,1.383,0.246,0.383,0.897,1.143,0.844,1.228,0.923,0.229,-0.458,0.091,3.405,-3.435,-0.031,1,1,2,0.249,0.905,1.154,0.431,0.949,1.38,-6.945,7.008,0.062,1.067,1.067,2.133,0.231,0.839,1.07,0.478,1.052,1.529,-0.270054041163825,0.446,2.591,1.542,"1"
122185,2003,96.193,74.949,0,274.371,1,6.079,1,,,-7.101,-0.574,95.244,65.337,-5.347,5.23,-14.769,4,0.006,7.574,-0.95,-9.612,4.965,1.426,-0.475,-4.806,4.789,-4,-1.898,-19.224,4.566,3.574,,0,0,1,1,0,0,0,0,0,0,0,-2.763,0.683,2.762,-0.001,0.765,1.448,0.238,0.41,0.9,1.138,0.83,1.24,0.945,0.252,-0.398,0.164,3.929,-3.928,0.002,1.191,1.333,2.525,0.239,0.904,1.143,0.468,0.948,1.416,-6.778,6.775,-0.003,0.953,1.067,2.02,0.224,0.847,1.071,0.475,0.962,1.437,-0.421925341852269,0.743333333333334,2.453,1.395,"1"
469735,2003,92.01,28.017,0,337.786,1,5.149,1,,,-12.803,-0.656,86.945,25.301,-5.743,7.97,-12.187,6,-2.338,12,-5.064,-2.715,7.922,2.344,-2.532,-1.358,-1.059,-5.656,-10.129,-5.431,4.156,5.656,,0,0,1,1,0,0,0,0,0,0,0,-1.715,0.753,2.122,0.407,0.753,1.506,0.201,0.367,0.908,1.109,0.844,1.211,0.617,0.269,-0.386,0.115,2.223,-2.751,-0.528,1.2,1.2,2.4,0.211,0.949,1.159,0.412,0.945,1.357,-4.518,5.59,1.072,1.6,1.6,3.2,0.197,0.888,1.085,0.493,1.132,1.625,-0.2962447404119,0.594,2.634,2.125,"1"
437803,2003,81.519,22.404,0,437.78,1,4.726,1,,,-12.755,0,82.859,22.447,-3.806,7.121,-10.193,6,-0.085,10,1.341,0.042,6.568,2.322,0.671,0.021,-0.986,-3.678,2.681,0.085,4.982,4,,0,0,1,1,0,0,0,0,1,906.314,906.314,-2.656,0.562,2.678,0.022,0.843,1.404,0.197,0.425,0.91,1.107,0.818,1.243,0.942,0.209,-0.566,0.077,4.252,-4.288,-0.036,1,1.5,2.5,0.205,0.946,1.151,0.482,0.928,1.411,-4.637,4.676,0.039,1.067,1.6,2.667,0.198,0.914,1.112,0.496,0.955,1.45,-0.600958700966158,0.78025,1.746,1.899,"1"
5858,2003,,,0,400.378,1,8.39,1,,,-6.626,0,,,-2.446,4.627,-11.944,4,3.42,6.136,,,4.541,2,,,7.339,-2.136,,,5.034,2.136,,1,0,1,1,0,0,0,0,0,0,0,-6.281,0.462,4.883,-1.398,0.864,1.326,0.209,0.51,0.914,1.123,0.779,1.289,2.078,0.183,-0.253,0.111,24.628,-19.146,5.482,0.712,1.333,2.045,0.21,0.918,1.128,0.613,0.935,1.548,-7.048,5.479,-1.569,0.57,1.067,1.636,0.211,0.923,1.134,0.501,0.765,1.266,-2.92085295875941,0.542333333333333,1.122,1.234,"1"
