"pix","year","for_age_2003","for_con_2003","for_pro","elev","p1_trend","p1_trend_slope","trend_20yrs","delta_for_age_lag3","delta_for_con_lag3","delta_cmi_sm_lag3","delta_dd5_wt_lag3","avg_for_age","avg_for_con","avg_cmi_sm","avg_dd5_wt","min_cmi_sm","min_dd5_wt","max_cmi_sm","max_dd5_wt","delta_for_age_lag2","delta_for_con_lag2","delta_cmi_sm_lag2","delta_dd5_wt_lag2","delta_for_age_lag1","delta_for_con_lag1","delta_cmi_sm_lag1","delta_dd5_wt_lag1","delta_for_age","delta_for_con","delta_cmi_sm","delta_dd5_wt","fire","harv","insc","gfc","canlad","abio","count_brk_neg","sum_brk_magnitude_neg","avg_brk_magnitude_neg","count_brk_pos","sum_brk_magnitude_pos","avg_brk_magnitude_pos","cmi_sm_nrange","dd5_wt_nrange","min_cmi_sm_rel","max_cmi_sm_rel","min_dd5_wt_rel","max_dd5_wt_rel","map_nrange","mat_nrange","min_map_rel","max_map_rel","min_mat_rel","max_mat_rel","cmi_sm_cv","dd5_wt_cv","cmi_sm_cqv","dd5_wt_cqv","cmi_sm_nrange30","min_cmi_sm_rel30","max_cmi_sm_rel30","dd5_wt_nrange30","min_dd5_wt_rel30","max_dd5_wt_rel30","map_nrange30","min_map_rel30","max_map_rel30","mat_nrange30","min_mat_rel30","max_mat_rel30","cmi_sm_nrange30_reg","min_cmi_sm_rel30_reg","max_cmi_sm_rel30_reg","dd5_wt_nrange30_reg","min_dd5_wt_rel30_reg","max_dd5_wt_rel30_reg","map_nrange30_reg","min_map_rel30_reg","max_map_rel30_reg","mat_nrange30_reg","min_mat_rel30_reg","max_mat_rel30_reg","cmi_sm_rel30","dd5_wt_rel30","cmi_sm_rel30_reg","dd5_wt_rel30_reg","canlad_factor"
93458,2003,90.789,71.44,0,258.39,2,-2.819,1,,,-5.901,0,93.21,71.18,-5.44,5.4,-15.263,4,-0.138,8,2.422,-0.26,5.538,2,1.211,-0.13,5.118,-4,4.843,-0.52,3.898,4,,0,0,0,1,0,0,0,0,0,0,0,-2.78,0.741,2.806,0.025,0.741,1.481,0.252,0.396,0.893,1.145,0.837,1.233,0.959,0.277,-0.393,0.2,3.815,-3.849,-0.035,1.333,1.333,2.667,0.252,0.894,1.147,0.45,0.95,1.4,-6.938,7.001,0.063,1.067,1.067,2.133,0.235,0.832,1.067,0.475,1.003,1.478,-0.371960112945976,0.8,2.495,1.44,"1"
196162,2003,81.531,76.044,0,373.143,2,-8.683,1,,,-8.949,0,79.45,77.247,-3.859,5.2,-12.736,4,1.655,7,-2.081,1.204,4.38,1,-1.04,0.602,3.742,-4,-4.163,2.407,5.597,3,,0,0,1,1,0,1,-764.578,-764.578,0,0,0,-3.729,0.577,3.3,-0.429,0.769,1.346,0.227,0.462,0.905,1.132,0.81,1.272,1.281,0.224,-0.884,0.2,6.345,-5.616,0.73,1,1.333,2.333,0.229,0.915,1.144,0.529,0.928,1.457,-6.601,5.842,-0.759,0.8,1.067,1.867,0.221,0.88,1.1,0.489,0.857,1.346,-0.701537480865902,0.733333333333333,1.77,1.387,"1"
21060,2003,75.009,19.517,0,359.157,2,-4.85,1,,,-6.342,-1,73.624,22.097,-1.242,5.4,-9.835,4,5.727,8,-1.386,2.58,5.215,2,-0.693,1.29,8.52,-4.372,-2.771,5.16,6.098,4,,1,0,1,1,0,1,-1901.821,-1901.821,0,0,0,-12.53,0.741,7.919,-4.611,0.741,1.481,0.177,0.436,0.908,1.086,0.804,1.241,4.078,0.277,-1.796,0.2,155.62,-98.35,57.27,1.333,1.333,2.667,0.183,0.935,1.118,0.512,0.944,1.456,-7.139,4.511,-2.627,1.067,1.067,2.133,0.189,0.967,1.155,0.501,0.925,1.426,-12.9501203206182,0.8,0.57,1.44,"1"
288792,2003,93.973,32.315,0,391.683,2,-7.073,1,,,-9.808,0,96.491,32.739,-4.101,6,-12.511,5,0.992,8,2.517,0.424,6.404,2,1.259,0.212,1.899,-4,5.036,0.849,5.124,3,,1,0,1,1,0,0,0,0,0,0,0,-3.293,0.5,3.051,-0.242,0.833,1.333,0.227,0.424,0.903,1.13,0.822,1.246,1.118,0.183,-0.54,0.091,4.774,-4.424,0.351,0.75,1.25,2,0.231,0.922,1.153,0.478,0.928,1.406,-6.194,5.739,-0.455,0.8,1.333,2.133,0.22,0.876,1.096,0.484,0.939,1.422,-0.449995081553598,0.5,1.881,1.6,"1"
291874,2003,84.701,34.692,0,370.678,2,-4.917,,,,-9.84,0,87.743,34.116,-4.479,6.199,-12.819,5,0.539,8.993,3.042,-0.576,6.372,2,1.521,-0.288,1.831,-4,6.084,-1.153,5.072,3.993,,0,0,1,1,0,0,0,0,0,0,0,-2.982,0.644,2.862,-0.12,0.807,1.451,0.226,0.413,0.903,1.129,0.827,1.24,1.013,0.237,-0.463,0.091,4.203,-4.033,0.17,0.998,1.25,2.248,0.231,0.923,1.153,0.467,0.935,1.402,-6.128,5.88,-0.247,1.065,1.333,2.398,0.218,0.871,1.089,0.483,0.968,1.451,-0.409279921646858,0.54975,2.055,1.653,"1"
81966,2003,87.722,44.431,0,305.372,2,-4.398,,,,-7.641,0,88.576,39.566,-4.463,5,-13.53,4,0.941,7,0.854,-4.864,4.101,2,0.427,-2.432,5.797,-3.942,1.708,-9.729,5.002,3,,1,0,0,1,0,0,0,0,0,0,0,-3.242,0.6,3.032,-0.211,0.8,1.4,0.216,0.434,0.909,1.124,0.815,1.248,1.089,0.219,-0.321,0.111,5.55,-5.189,0.361,1,1.333,2.333,0.217,0.915,1.132,0.5,0.94,1.441,-6.638,6.206,-0.432,0.8,1.067,1.867,0.211,0.889,1.1,0.479,0.901,1.38,-0.71175777272255,0.666666666666667,2.047,1.333,"1"
207525,2003,73.906,74.919,0,313.583,2,-6.049,,,,-8.588,0,79.411,72.6,-4.535,5.617,-13.536,4.087,0.982,8,5.504,-2.319,5.056,2,2.752,-1.159,3.437,-3,11.009,-4.638,5.379,3,,1,0,1,1,0,0,0,0,0,0,0,-3.201,0.697,2.985,-0.217,0.728,1.424,0.233,0.437,0.902,1.135,0.816,1.253,1.1,0.238,-0.666,0.091,4.664,-4.349,0.315,0.978,1.022,2,0.236,0.913,1.148,0.494,0.923,1.417,-6.66,6.209,-0.45,1.043,1.09,2.133,0.221,0.855,1.076,0.495,0.925,1.42,-0.456913075121696,0.40425,2.08,1.498,"1"
217826,2003,69.742,72.008,0,271.742,2,-10.804,1,,,-8.504,0,74.776,68.974,-5.735,6.187,-14.661,5,-0.4,8.933,5.034,-3.034,5.301,2,2.517,-1.517,3.178,-4.301,10.068,-6.068,5.111,3.933,,0,0,1,1,0,1,-488.783,-488.783,0,0,0,-2.487,0.636,2.556,0.07,0.808,1.444,0.234,0.387,0.903,1.137,0.839,1.226,0.854,0.233,-0.431,0.091,3.308,-3.401,-0.093,0.983,1.25,2.233,0.237,0.913,1.15,0.434,0.94,1.374,-6.542,6.725,0.183,1.049,1.333,2.382,0.218,0.84,1.058,0.477,1.034,1.511,-0.330230285805865,0.54675,2.631,1.65,"1"
184835,2003,84.371,58.357,0,408.407,2,-4.814,,,,-8.958,0,86.848,61.423,-3.242,5,-12.108,4,2.281,7,2.476,3.067,4.198,2,1.238,1.534,3.962,-3,4.953,6.133,5.62,3,,0,0,1,1,0,0,0,0,0,0,0,-4.438,0.6,3.735,-0.704,0.8,1.4,0.223,0.48,0.907,1.13,0.8,1.279,1.522,0.219,-1.207,0.111,9.006,-7.578,1.428,1,1.333,2.333,0.226,0.916,1.141,0.557,0.928,1.485,-6.6,5.554,-1.046,0.8,1.067,1.867,0.221,0.897,1.118,0.485,0.808,1.293,-1.02915299877912,0.666666666666667,1.487,1.333,"1"
129239,2003,86.695,43.742,0,428.289,2,-5.092,1,,,-8.604,0,87.452,41.458,-2.712,5,-11.515,4,2.869,7,0.757,-2.284,3.857,2,0.378,-1.142,5.248,-3,1.515,-4.568,5.546,3,,0,0,1,1,0,1,-865.868,-865.868,0,0,0,-5.304,0.6,4.246,-1.058,0.8,1.4,0.208,0.483,0.912,1.12,0.793,1.275,1.777,0.219,-0.976,0.111,15.718,-12.583,3.135,1,1.333,2.333,0.21,0.922,1.132,0.568,0.932,1.5,-6.598,5.282,-1.316,0.8,1.067,1.867,0.212,0.93,1.142,0.479,0.787,1.266,-1.96346487103826,0.666666666666667,1.244,1.333,"1"
