pix,year,for_age_2003,for_con_2003,for_pro,elev,p1_trend,p1_trend_slope,trend_20yrs,delta_for_age_lag3,delta_for_con_lag3,delta_cmi_sm_lag3,delta_dd5_wt_lag3,delta_for_age_lag2,delta_for_con_lag2,delta_cmi_sm_lag2,delta_dd5_wt_lag2,delta_for_age_lag1,delta_for_con_lag1,delta_cmi_sm_lag1,delta_dd5_wt_lag1,delta_for_age,delta_for_con,delta_cmi_sm,delta_dd5_wt,fire,harv,insc,gfc,canlad,count_brk_neg,sum_brk_magnitude_neg,avg_brk_magnitude_neg,count_brk_pos,sum_brk_magnitude_pos,avg_brk_magnitude_pos
169576,2003,87.711,34.696,0,298.48,1,5.674,1,,,-6.977,0.0,-0.011,-1.971,6.082,2.0,-0.005,-0.985,4.132,-4.0,-0.021,-3.943,4.466,3.0,0,1,0,1,2,,,,,,
204161,2003,96.57,38.244,1,414.113,1,3.515,1,,,-10.026,0.0,-0.134,-0.531,2.821,2.0,-0.067,-0.266,5.024,-3.0,-0.268,-1.063,5.828,3.0,0,0,0,1,0,,,,,,
204162,2003,84.664,52.353,1,419.644,1,3.017,1,,,-10.02,0.0,-0.079,-3.453,2.822,2.0,-0.04,-1.727,5.015,-3.0,-0.157,-6.905,5.822,3.0,0,0,0,1,0,,,,,,
204433,2003,89.964,28.522,0,386.073,1,4.965,1,,,-8.625,-0.919,-1.524,-1.725,4.887,1.081,-0.762,-0.862,3.559,-3.919,-3.049,-3.452,5.429,3.384,0,0,0,1,1,,,,,,
204434,2003,92.798,34.584,0,363.495,1,3.794,,,,-8.612,-0.185,-2.947,-2.07,4.912,1.815,-1.473,-1.035,3.536,-3.185,-5.893,-4.141,5.419,3.185,0,0,0,1,2,,,,,,
204554,2003,77.676,23.183,0,370.201,1,6.115,1,,,-7.465,0.0,9.201,-1.588,6.618,2.0,4.6,-0.794,3.893,-4.0,18.401,-3.175,4.738,3.0,0,1,0,1,1,,,,,,
204555,2003,87.022,19.297,0,368.361,1,4.503,,,,-7.455,0.0,8.897,-1.175,6.637,2.0,4.448,-0.587,3.899,-4.0,17.793,-2.35,4.728,3.0,0,1,0,1,1,,,,,,
204556,2003,81.879,14.476,0,361.826,1,3.208,1,,,-7.441,0.0,5.838,-0.847,6.648,2.0,2.919,-0.423,3.9,-4.0,11.675,-1.694,4.708,3.0,0,1,0,1,1,,,,,,
205449,2003,71.852,54.304,0,402.541,1,3.055,,,,-8.78,0.0,-0.696,-2.287,4.774,1.015,-0.348,-1.144,3.531,-3.0,-1.392,-4.573,5.53,3.0,0,0,0,0,0,,,,,,
205460,2003,73.725,21.176,0,411.299,1,3.629,5,,,-8.669,-0.5,11.834,-1.027,4.875,1.003,5.917,-0.513,3.556,-3.873,23.666,-2.054,5.455,3.0,0,0,0,0,0,,,,,,
